name,date,volbuy,cost_amount,market_value,period
AH,2023-06-08,1200.0,44400.0,17160.0,1
ASK,2023-02-16,6000.0,157500.0,52200.0,1
ASP,2022-03-07,30000.0,114000.0,69600.0,1
IVL,2022-08-29,7200.0,288000.0,165600.0,1
ORI,2022-04-07,50000.0,520000.0,171000.0,1
PTTGC,2021-03-17,6000.0,388500.0,129000.0,1
SCC,2021-09-20,600.0,243000.0,92400.0,1
SINGER,2023-01-19,6000.0,148800.0,40500.0,1
STA,2021-06-15,10000.0,300000.0,157000.0,1
TMT,2021-08-16,36000.0,367200.0,113760.0,1
TOA,2023-09-06,1000.0,26000.0,12100.0,1
AIMIRT,2023-08-17,12500.0,136250.0,131250.0,2
CPNREIT,2022-08-16,55000.0,990000.0,665500.0,2
DIF,2020-08-01,35000.0,486500.0,294000.0,2
GVREIT,2022-08-24,60000.0,474000.0,405000.0,2
MCS,2016-09-20,75000.0,1155000.0,465000.0,2
NER,2021-09-01,27000.0,201150.0,132300.0,2
SENA,2022-03-29,105000.0,470400.0,228900.0,2
TFFIF,2023-07-06,20000.0,150000.0,126000.0,2
WHAIR,2021-10-11,50000.0,435000.0,322500.0,2
WHART,2022-01-05,20000.0,246000.0,200000.0,2
3BBIF,2018-05-17,120000.0,1212000.0,630000.0,3
JMART,2023-01-20,6800.0,224400.0,74120.0,3
JMT,2023-01-26,4200.0,233100.0,61740.0,3
KCE,2021-10-07,10000.0,772500.0,220000.0,3
AWC,2023-06-15,9000.0,44640.0,28440.0,4
BCH,2021-09-07,4000.0,86800.0,57200.0,4
PTG,2023-07-12,3600.0,41040.0,26820.0,4
RCL,2021-11-08,27000.0,1046250.0,648000.0,4
SYNEX,2022-01-07,15000.0,430500.0,201000.0,4
TVO,2024-11-06,4000.0,99600.0,84000.0,4
